time,time_index,peak_heights
1279.56,753431,249.588
1302.36,799015,98.3566
1320.3799999999999,835057,43.5681
1341.8600000000001,878016,56.9275
1368.6399999999999,931580,53.6252
1369.15,932604,20.5269
1384.33,962955,41.7668
1389.42,973143,58.4286
1403.6299999999999,1001561,36.8134
1410.17,1014640,156.072
1423.25,1040805,21.6527
1429.5200000000002,1053344,59.9296
1441.9299999999998,1078154,35.3123
1527.39,1249074,110.29
1681.08,1556458,252.89
1691.76,1577822,32.4603
1715.2099999999998,1624713,31.7098
1727.74,1649790,23.454
1742.72,1679751,70.2118
1768.72,1731747,91.3767
1899.72,1993750,280.35900000000004
1920.83,2035959,222.86900000000003
1945.33,2084967,60.2298
2092.23,2378760,57.0026
2115.48,2425254,62.0311
2187.6900000000005,2569692,171.38299999999998
2229.75,2653801,55.2763
2293.6299999999997,2781570,197.051
2379.87,2954040,122.29799999999999
2405.66,3005633,150.368
2488.01,3170319,105.036
2537.91,3270130,59.029
2584.2200000000003,3362753,55.9518
2673.12,3540547,84.9972
2688.4900000000002,3571280,57.0776
2773.18,3740656,172.28400000000002
2796.95,3788203,174.235
2867.2599999999998,3928832,189.095
2891.48,3977260,58.0533
2975.2200000000003,4144738,226.021
2998.92,4192151,97.9813
3066.9,4328100,102.935
3081.2400000000002,4356783,89.1251
3102.9900000000002,4400289,22.2531
3110.9900000000002,4416289,86.3482
3173.62,4541546,67.2097
3192.79,4579890,63.6822
3214.01,4622320,52.8747
3279.72,4753743,235.328
3293.1400000000003,4780583,80.7192
3303.6300000000006,4801572,48.7467
3332.6800000000003,4859655,79.3683
3349.4900000000002,4893289,25.4053
3376.75,4947794,83.3461
3389.64,4973578,34.2616
3414.8699999999994,5024035,45.4444
3438.79,5071891,22.4783
3486.79,5167881,45.8197
3502.11,5198524,35.0872
3549.5699999999997,5293447,51.2985
3595.09,5384478,49.6474
3614.04,5422384,26.4561
3635.0699999999997,5464445,38.2394
3680.75,5555800,82.3704
3701.7400000000002,5597788,55.0512
3746.2599999999998,5686826,21.3525
3792.5400000000004,5779392,49.7975
3808.09,5810487,57.0026
3875.0,5944309,102.03399999999999
3895.2,5984705,209.66
3940.31,6074929,101.434
3972.75,6139810,86.123
3990.9199999999996,6176153,42.2172
4036.0199999999995,6266351,51.1484
4077.6900000000005,6349689,191.347
4093.56,6381413,26.9064
4098.2699999999995,6390848,55.2763
4146.3,6486899,44.844
4182.93,6560168,79.8186
4210.88,6616071,58.3535
4268.11,6730520,97.531
4280.8,6755907,55.8017
4332.62,6859548,129.203
4374.88,6944061,57.0776
4399.3,6992911,32.8356
4422.43,7039158,25.2552
4428.759999999999,7051819,87.474
4471.95,7138211,137.309
4492.57,7179439,57.3028
4522.91,7240129,59.3292
4576.150000000001,7346596,55.8017
4597.2,7388697,34.1115
4624.91,7444115,52.3493
4671.509999999999,7537322,122.148
4695.31,7584924,35.2373
4775.4400000000005,7745192,232.476
4790.29,7774876,92.1272
4821.72,7837752,34.0364
4867.099999999999,7928501,91.5268
4888.47,7971244,39.9656
4906.51,8007331,91.6769
4928.99,8052274,33.8863
4977.71,8149731,35.5375
5003.04,8200373,48.2964
5046.08,8286466,27.0565
